EN,"<= Language Selection - English or French
<= Sélection de la Langue - Anglais ou Français",
Section,TECHNICAL REQUIREMENTS,
Requirement,🛠️ Resarch.md - Responsive Threshold Justification,"
In Resarch.md, add a short explanation justifying the chosen breakpoint (Why this width? What UX issue does it solve?).
"
Requirement,🛠️ Resarch.md - Reactive vs Responsive Explanation,"
Add short sections explaining the difference between Reactive Design and Responsive Design.
"
Requirement,🛠️ Resarch.md - Project Setup Instructions,"
Add a short section explaining how to set up and run the project (installation, environment variables, start commands, etc.).
"
Requirement,🛠️ Admin Page - Working Navigation,"
The Admin page must allow navigation to both the User Manager and Content Manager sections.
"
Section,AI-NATIVE PROJECT SPECIFICATION & IMPLEMENTATION REQUIREMENTS,
Sub-Section,Global Specifications,
Requirement,🤖🛠️ AI Specification document,"
Create a project-wide AI specification document :
     • Project identity + scope (in/out)
     • Architecture / repo structure
     • Allowed tech & constraints
     • Coding standards / conventions
     • Global “Definition of Done” + cross-feature rules

IMPORTANT : Must be read first before implementing any feature.

File name & Location : ./ai/ai-spec.md
"
Sub-Section,Feature - Backend schemas,
Requirement,🤖🛠️ AI Feature Specification - Schema Usage,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/schema-usage.feature.md
"
Requirement,🛠️ Schema Usage - User,"
The User schema must be used correctly in all related endpoints.
"
Requirement,🛠️ Schema Usage - Session,"
The Session schema must be used correctly in all related endpoints.
"
Requirement,🛠️ Schema Usage - Post,"
The Post schema must be used correctly in Post-related endpoints.
"
Requirement,🛠️ Schema Usage - Comment,"
The Comment schema must be used correctly in Comment-related endpoints.
"
Sub-Section,Feature - Backend configuration,
Requirement,🤖🛠️ AI Feature Specification - Server-Configuration,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/server-configuration.feature.md
"
Requirement,🛠️ Server-Configuration - .env Configured,"
.env must contain essential configuration values (port, MongoDB connection string, etc.).
"
Requirement,🛠️ Server-Configuration - .gitignore Rules,"
.gitignore must exclude sensitive and unnecessary items (e.g., .env, node_modules).
"
Requirement,🛠️ Server-Configuration - Required Libraries Installed,"
All necessary backend libraries must be installed and functional.
"
Requirement,🛠️ Server-Configuration - Server & DB Connection Working,"
The server must start without errors and connect successfully to MongoDB.
"
Sub-Section,Feature - Backend /users endpoints,
Requirement,🤖🛠️ AI Feature Specification - User Endpoint,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/user-endpoint.feature.md
"
Requirement,🛠️ User Endpoint - Update User,"
Define a backend route that updates a user by ID.
"
Requirement,🛠️ User Endpoint - Delete User (Cascade Delete),"
Define a route that deletes a user and all their posts and all comments on those posts.
"
Sub-Section,Feature - Backend /posts endpoints,
Requirement,🤖🛠️ AI Feature Specification - Post Endpoint,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/post-endpoint.feature.md
"
Requirement,🛠️ Post Endpoint - Delete Post (Cascade Delete),"
Define a route that deletes a post and all its comments.
"
Sub-Section,Feature - Backend /comments endpoints,
Requirement,🤖🛠️ AI Feature Specification - Comment Endpoint,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/comment-endpoint.feature.md
"
Requirement,🛠️ Comment Endpoint - Delete Comment,"
Define a route that deletes a comment by ID.
"
Sub-Section,Feature - Frontend user manager section,
Requirement,🤖🛠️ AI Feature Specification - User Manager,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/user-manager.feature.md
"
Requirement,🛠️ User Manager - Input Fields,"
The User Manager must include input fields for First Name and Last Name.
"
Requirement,🛠️ User Manager - Search Functionality,"The search feature must correctly filter users by: first name, last name, or both. Auto-filtering (typing triggers filtering) is accepted.
"
Requirement,🛠️ User Manager - Clear Button,"
A Clear button must reset the input fields and reload the full user list.
"
Requirement,🛠️ User Manager - Edit Button,"
Each user must have an Edit button leading to an editable user form where all user fields can be updated.
"
Requirement,🛠️ User Manager - Delete Button + Confirmation,"
Each user must have a Delete button. Deleting requires a confirmation modal before removal.
"
Requirement,🛠️ User Manager - Pagination,"
The table must include pagination based on number of users per page.
"
Requirement,🛠️ User Manager - Results-Per-Page Dropdown,"
Include a dropdown that controls how many users appear per page.
"
Sub-Section,Feature - Frontend user update section,
Requirement,🤖🛠️ AI Feature Specification - User Update,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/user-update.feature.md
"
Requirement,🛠️ User Update - Return to Manager Button,"
A working Return link (or button) must redirect back to the User Manager page without applying any updates.
"
Requirement,🛠️ User Update - Password Repeat Validation,"
When updating a password, a repeat password validation is required.
"
Requirement,🛠️ User Update - Confirmation Modal,"
A confirmation modal must appear before applying final updates.
"
Sub-Section,Feature - Frontend content manager section,
Requirement,🤖🛠️ AI Feature Specification - Content Manager,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/content-manager.feature.md
"
Requirement,🛠️ Content Manager - Input Fields,"
The Content Manager must include Date Start and Date End fields.
"
Requirement,🛠️ Content Manager - Search Functionality,"
Search must correctly filter by: start date, end date, or both. Auto-filtering on typing is accepted.
"
Requirement,🛠️ Content Manager - Select All Button,"
A Select All button retrieves all posts regardless of filters.
"
Requirement,🛠️ Content Manager - Delete Functionality,"
The Content Manager must allow deleting individual posts.
"
Requirement,🛠️ Content Manager - Pagination,"
The Content Manager must include pagination.
"
Requirement,🛠️ Content Manager - Results-Per-Page Dropdown,"
A dropdown must control how many posts appear per page.
"
Sub-Section,Feature - Frontend reactive,
Requirement,🤖🛠️ AI Feature Specification - Reactive Design,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/reactive-design.feature.md
"
Requirement,🛠️ Reactive Design - Skeleton Loaders,"
Skeleton loaders must appear in the User Manager and Content Manager during loading operations or updates.
"
Sub-Section,Feature - Frontend responsive,
Requirement,🤖🛠️ AI Feature Specification - Responsive Design,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/responsive-design.feature.md
"
Requirement,🛠️ Responsive Design - Mobile Navbar,"
When screen width drops below a chosen breakpoint, the vertical navbar must be replaced by a horizontal navbar.
"
Section,TECHNICAL INTERVIEW REQUIREMENTS,
Requirement,📄🎥 CONCEPTS.md - Concept & Explanation Video,"
Part 1 - Create CONCEPTS.md and list 3 challenging concepts used in your project. For each concept, include:
     • Concept name
     • Purpose in the project
     • Why it was challenging
     • Usage location (file + line if applicable)

File name & Location : ./CONCEPTS.md

Part 2 - Record a video (~ 5 - 10 minutes) and explain the 3 concepts in your own words to demonstrate your understanding.

Part 3 - Upload to YouTube (Unlisted) and include the link in your submission summary document.
"
Requirement,📄🎥 Problem Solving  - Results & Explanation Video,"
Part 1 - Demonstrate your understanding of state management, data visualization, auth patterns by solving the following problems:
     • Group By → https://leetcode.com/problems/group-by/
     • Detect Squares → https://leetcode.com/problems/detect-squares/
     • Execute Asynchronous Functions in Parallel → https://leetcode.com/problems/execute-asynchronous-functions-in-parallel/
     • LRU Cache → https://leetcode.com/problems/lru-cache/
     • Top K Frequent Elements → https://leetcode.com/problems/top-k-frequent-elements/

Part 2 - For each completed challenge:
                • Take a clear screenshot of your solution.
                • Save the screenshot in your project folder using the following structure:
                • File Name & Location: ./LeetCode-Challenges/<challenge-name>.png

Part 3 - In addition, record a problem-solving explanation video (~5–10 minutes) where you explain each challenge in your own words, focusing on the reasoning behind the solution, not just the final code or answer.

Part 4 - Upload to YouTube (Unlisted) and include the link in your submission summary document.
"
Requirement,🎥🔗 Technical Demo & Code Overview Video,"
Record a video (~ 5 - 10 minutes) divided into two parts:

Part 1 - Functional Demonstration (UI & Behavior)
Demonstrate how each requirement works by interacting with:
     • User Interface (UI)
     • Postman (API calls, if applicable)
     • DBeaver / MongoDB (Database, if applicable)

Part 2 - Code Explanation (Internal Implementation)
Explain how each requirement is implemented in the code, including:
     • Project structure
     • How each requirement works internally
       (state management, navigation, APIs, core logic)

Part 3 - Upload to YouTube (Unlisted) and include the link in your submission summary document.
"
Section,DEADLINE REQUIREMENTS,
Requirement,⏳ Deliverable Submitted on Time,"
Submit the complete project no later than 11:59 PM on Friday of the assigned deadline week.

Approved extensions allow extra time, but points will still be deducted for late submissions.
"
Section,EXTRA MILES,"
⚠️ Extra miles will only be considered if all main requirements are fully completed and reviewed by a coach.
"
Extra Mile,Research 1 - SQL & Relational Basics,"
Add paragraphs in your Research.md explaining: 
     1. What is SQL? 
     2. Main difference between SQLite vs MySQL. 
     3. What are Primary Keys and Foreign Keys? 
     4. What are the different types of database relationships? 
     5. Provide one example for each relationship type.
"
Extra Mile,Research 2 - Relationships in Your Project,"
Add paragraphs in your Research.md, identify and explain: 
     1. One many-to-one relationship (tables + justification). 
     2. One one-to-one relationship (tables + reason). 
     3. One many-to-many relationship (tables + why this design is needed).
"
Extra Mile,🚀 Skeleton Loaders,"
Implement skeleton loaders for key views (e.g., posts, user cards) to indicate loading states across the app.
"
Extra Mile,🚀 URL Scheme & Access Rules,"
     • Refactor the Home route to /home/{user_id}. 
     • The logged-in user may access their own home; admins may access /home/{any_user_id}. 
     • If access is unauthorized, redirect to the user’s own home and show an ‘unauthorized’ toast. 
     • If the requested user does not exist, redirect home and show a ‘user not found’ toast.
"
Extra Mile,🚀 Reactive State Management,"
Use RxJS to manage and reactively update relevant parts of the application state.
"
Section,SOFT/PRO SKILLS,"
⚠️ Communication, progress updates, and project reviews are mandatory in this program.

You are expected to :
→ Respond to your coaches within 24 hours when contacted.
→ Provide at least two (2) progress updates per week.
→ Schedule at least one (1) project review per week before Friday.

Failure to meet these requirements may result in a failed module.
"
ProDev,⏰ Attendance / Punctuality,"
     • Does the student attend scrums or scheduled meetings (when applicable)? 
     • Are they on time? 
     • Do they respond to messages or check-ins within 24 hours?
"
ProDev,🧠 Autonomy & Initiative,"
     • Does the student complete tasks without requiring frequent coach intervention? 
     • Are they able to research, troubleshoot, or find solutions independently? 
     • Do they push code or submit deliverables regularly?
"
ProDev,💼 Professionalism,"
     • Does the student behave reliably and respectfully in all formats (Slack, GitHub, Meet, etc.)? 
     • Do they submit deliverables on time and follow instructions without being reminded?
"
ProDev,🗣️ Communication & Collaboration,"
     • Is the student capable of expressing their progress, blockers, or needs clearly? 
     • Do they participate in discussions, answer questions when tagged, or collaborate when in teams?
"
ProDev,🧩 Technical Proficiency,"
     • Does the student demonstrate solid understanding of concepts through their work? 
     • Are their solutions well-written, complete, and using appropriate tools or methods?
"
ProDev,🔍 Attention to Detail,"
     • Are there minimal spelling, syntax, or formatting errors? 
     • Does the student follow naming conventions, indentation, and file structure guidelines?
"
ProDev,🏅 Going the Extra Mile,"
     • Does the student add extra features, improvements, or bonus tasks not explicitly required? 
     • Do they show signs of pride in craftsmanship and curiosity?
"
