Issue Type,Summary,Description,Priority,Labels,Parent
Sub-task,Find and delete all posts belonging to the user,Query the Post model for all posts by the user ID and delete them.,High,backend,Create DELETE /api/users/:id endpoint
Sub-task,Delete all comments on each of the user's posts,For each post found above query Comment model and delete associated comments.,High,backend,Create DELETE /api/users/:id endpoint
Sub-task,Delete the user record,Remove the user from the User collection after posts and comments are cleared.,High,backend,Create DELETE /api/users/:id endpoint
Sub-task,Return success response for user delete,Send a 200 success response after all cascade deletions complete.,Low,backend,Create DELETE /api/users/:id endpoint
Story,Delete Post Endpoint with Cascade,Expose a DELETE endpoint that removes a post and all its comments.,High,backend,
Task,Create DELETE /api/posts/:id endpoint,Build the route handler for deleting a post and cascading deletion to comments.,High,backend,Delete Post Endpoint with Cascade
Sub-task,Find and delete all comments on the post,Query the Comment model for all comments on the post ID and delete them.,High,backend,Create DELETE /api/posts/:id endpoint
Sub-task,Delete the post record,Remove the post from the Post collection after comments are cleared.,High,backend,Create DELETE /api/posts/:id endpoint
Sub-task,Return success response for post delete,Send a 200 success response after all cascade deletions complete.,Low,backend,Create DELETE /api/posts/:id endpoint
Story,Delete Comment Endpoint,Expose a DELETE endpoint that removes a single comment.,Medium,backend,
Task,Create DELETE /api/comments/:id endpoint,Build the route handler for deleting a comment by ID.,Medium,backend,Delete Comment Endpoint
Sub-task,Delete the comment record,Remove the comment from the Comment collection.,Medium,backend,Create DELETE /api/comments/:id endpoint
Sub-task,Return success response for comment delete,Send a 200 success response after deletion.,Low,backend,Create DELETE /api/comments/:id endpoint
Story,Schema Validation,Ensure all Mongoose schemas are complete and correct per the grading sheet.,Medium,backend,
Task,Validate and finalize User schema,Review User model fields and constraints against grading sheet requirements.,Medium,backend,Schema Validation
Task,Validate and finalize Session schema,Review Session model fields and constraints against grading sheet requirements.,Medium,backend,Schema Validation
Task,Validate and finalize Post schema,Review Post model fields and constraints against grading sheet requirements.,Medium,backend,Schema Validation
Task,Validate and finalize Comment schema,Review Comment model fields and constraints against grading sheet requirements.,Medium,backend,Schema Validation
Story,AI Specification Documents,Create the spec-driven AI workflow documents used to guide AI code generation per the module methodology.,Medium,documentation,
Task,Create global ai-spec.md,Write the global project specification file at ./ai/ai-spec.md covering architecture conventions database and API structure.,Medium,documentation,AI Specification Documents
Sub-task,Document project architecture and conventions in ai-spec.md,Describe the MERN stack structure folder conventions and code style.,Medium,documentation,Create global ai-spec.md
Sub-task,Document database schema in ai-spec.md,Describe all four Mongoose models and their field definitions.,Medium,documentation,Create global ai-spec.md
Sub-task,Document API structure in ai-spec.md,List all routes with HTTP methods and expected request/response shapes.,Medium,documentation,Create global ai-spec.md
Task,Create feature spec files in ./ai/features/,Write individual feature specification files for use in AI-assisted development.,Medium,documentation,AI Specification Documents
Sub-task,Create user-manager.feature.md,Write the feature spec for the User Manager admin panel.,Medium,documentation,Create feature spec files in ./ai/features/
Sub-task,Create content-manager.feature.md,Write the feature spec for the Content Manager admin panel.,Medium,documentation,Create feature spec files in ./ai/features/
Sub-task,Create skeleton-loaders.feature.md,Write the feature spec for skeleton loader reactive design.,Medium,documentation,Create feature spec files in ./ai/features/
Sub-task,Create responsive-navbar.feature.md,Write the feature spec for the responsive navbar.,Medium,documentation,Create feature spec files in ./ai/features/
Sub-task,Create user-endpoints.feature.md,Write the feature spec for user update and delete endpoints.,Medium,documentation,Create feature spec files in ./ai/features/
Sub-task,Create post-endpoints.feature.md,Write the feature spec for post delete endpoint.,Medium,documentation,Create feature spec files in ./ai/features/
Sub-task,Create comment-endpoints.feature.md,Write the feature spec for comment delete endpoint.,Medium,documentation,Create feature spec files in ./ai/features/
Story,README.md,Provide complete project documentation for the repository.,Medium,documentation,
Task,Write project description and tech stack section,Describe CodeBloggs and list all technologies used in the MERN stack.,Medium,documentation,README.md
Task,Write project structure section,Document the folder and file organization of the repository.,Low,documentation,README.md
Task,Write installation and setup instructions,Provide step-by-step guide to clone install and run the project locally.,Medium,documentation,README.md
Task,Document all environment variables,List and describe every required env var with placeholder values.,Medium,documentation,README.md
Task,Write API documentation section,Document all endpoints with method path parameters and response shape.,Medium,documentation,README.md
Task,Add reactive vs responsive design explanation and breakpoint justification,Summarize the reactive vs responsive concepts and justify chosen CSS breakpoints.,Medium,documentation,README.md
Story,Research.md,Standalone research document comparing reactive and responsive design in depth.,Medium,documentation,
Task,Research reactive vs responsive design concepts,Gather sources and form a clear understanding of both design paradigms.,Medium,documentation,Research.md
Task,Write Research.md comparing both design concepts,Author the research document with definitions comparison use cases and conclusions.,Medium,documentation,Research.md
Story,CONCEPTS.md,Document 3 technically challenging concepts for the interview video.,Medium,documentation,
Task,Identify 3 challenging technical concepts from the project,Select 3 concepts encountered in M10 development that required significant learning.,Medium,documentation,CONCEPTS.md
Task,Document each concept in CONCEPTS.md,Write purpose why challenging and where it is used in the codebase for each concept.,Medium,documentation,CONCEPTS.md
Story,Postman Collection,Maintain an up-to-date PostmanCollection.json covering all M10 API endpoints.,Medium,documentation,
Task,Add update user request to PostmanCollection.json,Create and configure the PUT/PATCH user request in Postman and export.,Medium,documentation,Postman Collection
Task,Add delete user request to PostmanCollection.json,Create and configure the DELETE user request in Postman and export.,Medium,documentation,Postman Collection
Task,Add delete post request to PostmanCollection.json,Create and configure the DELETE post request in Postman and export.,Medium,documentation,Postman Collection
Task,Add delete comment request to PostmanCollection.json,Create and configure the DELETE comment request in Postman and export.,Medium,documentation,Postman Collection
Story,GitHub Workflow,Follow the required branching strategy and commit message convention throughout all development.,Medium,documentation,
Task,Set up branching structure main dev and feature branches,Create main dev and feature/* branches following the required Git workflow.,High,documentation,GitHub Workflow
Task,Follow commit message convention throughout development,Use imperative mood with issue references and keywords (feat fix chore docs style test) on every commit.,Medium,documentation,GitHub Workflow
Task,Create and merge PRs following the slide procedure,Open PRs from feature to dev and from dev to main following the review and merge steps in the slides.,Medium,documentation,GitHub Workflow
Story,Wireframe Analysis Document,Document wireframe analysis for each of the four M10 features.,Low,documentation,
Task,Document wireframe analysis for each feature,Write wireframe analysis for User Manager Content Manager Skeleton Loaders and Responsive Navbar.,Low,documentation,Wireframe Analysis Document
Story,LeetCode Challenges,Solve 5 LeetCode problems save screenshots and prepare to explain reasoning.,Medium,interview,
Task,Solve LeetCode challenge 1 and save screenshot,Complete one LeetCode problem and save a screenshot to ./LeetCode-Challenges/<challenge-name>.png.,Medium,interview,LeetCode Challenges
Task,Solve LeetCode challenge 2 and save screenshot,Complete one LeetCode problem and save a screenshot to ./LeetCode-Challenges/<challenge-name>.png.,Medium,interview,LeetCode Challenges
Task,Solve LeetCode challenge 3 and save screenshot,Complete one LeetCode problem and save a screenshot to ./LeetCode-Challenges/<challenge-name>.png.,Medium,interview,LeetCode Challenges
Task,Solve LeetCode challenge 4 and save screenshot,Complete one LeetCode problem and save a screenshot to ./LeetCode-Challenges/<challenge-name>.png.,Medium,interview,LeetCode Challenges
Task,Solve LeetCode challenge 5 and save screenshot,Complete one LeetCode problem and save a screenshot to ./LeetCode-Challenges/<challenge-name>.png.,Medium,interview,LeetCode Challenges
Story,Interview Videos,Record the three required videos demonstrating concepts problem-solving and the live product.,Medium,interview,
Task,Record CONCEPTS explanation video 5 to 10 minutes,Explain each of the 3 concepts from CONCEPTS.md in your own words on camera.,Medium,interview,Interview Videos
Task,Record LeetCode problem-solving video 5 to 10 minutes,Walk through the reasoning behind your solutions to the 5 LeetCode challenges.,Medium,interview,Interview Videos
Task,Record technical demo and code overview video 10 to 15 minutes,Film a functional demo of the app then walk through the key parts of the codebase.,Medium,interview,Interview Videos
Story,Submission Package,Package and submit all deliverables through the platform.,High,interview,
Task,Create submission summary document,Write a document with your name repo link all video links and login credentials - DO NOT commit to GitHub.,High,interview,Submission Package
Task,Merge dev branch to main,Ensure all feature branches are merged to dev and then dev is merged to main before submitting.,High,interview,Submission Package
Task,Submit through the platform with submission summary,Upload or link the submission summary document through the Codeboxx submission platform.,High,interview,Submission Package
