EN,"<= Language Selection - English or French
<= Sélection de la Langue - Anglais ou Français",
Requirement,🛠️ Visual Design - Professional Quality,"
The overall app must look professional, including: color palette, typography, alignment, spacing, and general layout consistency.
"
Requirement,🛠️ Wireframe Analysis - Backend Data,"For each wireframe, clearly answer: “What data (if any) is required from the backend to render this screen?”
"
Requirement,🛠️ Wireframe Analysis - User Actions,"
For each wireframe, clearly answer: “What actions (if any) is this screen responsible for?” (e.g., login, create post, like, navigates).
"
Requirement,🛠️ Wireframe Analysis - API Path,"
For every wireframe that uses the API, provide the endpoint path in the format: VERB /route/{path_param}?query_param=value
"
Requirement,🛠️ Wireframe Analysis - Parameters,"
For those API endpoints, list all required path, query, and body parameters.
"
Requirement,🛠️ Wireframe Analysis - Sample Response,"
For each API endpoint used by a wireframe, provide a realistic sample JSON response.
"
Requirement,🛠️ Wireframe Analysis - Quality & Layout,"
All your answers must be accurate, complete, and well structured, making the relationship between UI and API very clear.
"
Section,AI-NATIVE PROJECT SPECIFICATION & IMPLEMENTATION REQUIREMENTS,
Sub-Section,Global Specifications,
Requirement,🤖🛠️ AI Specification document,"
Create a project-wide AI specification document :
     • Project identity + scope (in/out)
     • Architecture / repo structure
     • Allowed tech & constraints
     • Coding standards / conventions
     • Global “Definition of Done” + cross-feature rules

IMPORTANT : Must be read first before implementing any feature.

File name & Location : ./ai/ai-spec.md
"
Sub-Section,Feature - Backend configuration,
Requirement,🤖🛠️ AI Feature Specification - Configuration,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/configuration.feature.md
"
Requirement,🛠️ Configuration - Server Dependencies,"
package.json includes all required dependencies to run the backend (e.g., MongoDB, mongoose, nodemon, cors, express, etc.).
"
Requirement,🛠️ Configuration - Database Connection,"
connection.js is correctly set up to connect to the database with proper imports and configuration.
"
Requirement,🛠️ Configuration - server.js,"
server.js is properly configured to start the server with needed imports and settings.
"
Requirement,🛠️ Configuration - Imported in Server,"
server.js imports and initializes all necessary route files.
"
Requirement,🛠️ Configuration - Link to Controllers,"
In each route file, the corresponding controller is imported and each route defines: path, HTTP method, and controller method to handle the request.
"
Sub-Section,Feature - Backend schemas,
Requirement,🤖🛠️ AI Feature Specification - Schemas,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/schemas.feature.md
"
Requirement,🛠️ Schemas - User Schema Created,"
A User schema has been defined.
"
Requirement,🛠️ Schemas - Session Schema Created,"
A Session schema has been defined.
"
Requirement,🛠️ Schemas - Post Schema Created,"
A Post schema has been defined.
"
Requirement,🛠️ Schemas - Comment Schema Created,"
A Comment schema has been defined.
"
Requirement,🛠️ Schemas - MongoDB Collections Created,"
All schemas (User, Session, Post, Comment) are persisted as MongoDB collections.
"
Sub-Section,Feature - Backend /session endpoints,
Requirement,🤖🛠️ AI Feature Specification - Session Endpoint,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/session-endpoint.feature.md
"
Requirement,🛠️ Session Endpoint - Login,"
Define a backend route that handles user login and session.
"
Requirement,🛠️ Session Endpoint - Logout,"
Define a route that handles logout and clears the session, and returns the user to the login page.
"
Requirement,🛠️ Session Endpoint - Session Validation,"
Define a route that validates a session (e.g., checks token and expiration).
"
Sub-Section,Feature - Backend /user endpoints,
Requirement,🤖🛠️ AI Feature Specification - User Endpoint,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/user-endpoint.feature.md
"
Requirement,🛠️ User Endpoint - User Create,"
Define a route to create a new user (used by the registration page).
"
Requirement,🛠️ User Endpoint - Get User by ID,"
Define a route to retrieve a single user by ID.
"
Requirement,🛠️ User Endpoint - Get All Users,"
Define a route to retrieve all users.
"
Sub-Section,Feature - Backend /posts endpoints,
Requirement,🤖🛠️ AI Feature Specification - Post Endpoint,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/post-endpoint.feature.md
"
Requirement,🛠️ Post Endpoint - Post Create,"
Define a route to create a new post.
"
Requirement,🛠️ Post Endpoint - Update Post by ID,"
Define a route to update a post by its ID.
"
Requirement,🛠️ Post Endpoint - Get All Posts,"
Define a route to retrieve all posts.
"
Sub-Section,Feature - Backend /comments endpoints,
Requirement,🤖🛠️ AI Feature Specification - Comment Endpoint,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/comment-endpiont.feature.md
"
Requirement,🛠️ Comment Endpoint - Comment Create,"
Define a route to create a new comment.
"
Requirement,🛠️ Comment Endpoint - Update Comment by ID,"
Define a route to update a comment by its ID.
"
Requirement,🛠️ Comment Endpoint - Get All Comments,"
Define a route to retrieve all comments.
"
Sub-Section,Feature - Frontend layout,
Requirement,🤖🛠️ AI Feature Specification - Layout Structure,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/layout-structure.feature.md
"
Requirement,🛠️ Layout Structure - Header + Sidebar + Content,"
The app layout must follow this structure: • A header at the top • Under the header, a left-side navigation panel • A right-side main content area next to the navigation panel.
"
Requirement,🛠️ Layout Structure - Login Page Layout,"
The Login page is independent from the main layout and must not display the header or left navigation.
"
Requirement,🛠️ Layout Structure - Registration Page Layout,"
The Registration page is independent from the main layout and must not display the header or left navigation.
"
Requirement,🛠️ Layout Structure - Header Implemented,"
The header is always visible on all main pages (Home, blogs, Network, Admin) and hidden on Login and Register pages.
"
Requirement,🛠️ Layout Structure - Left Navigation Panel Implemented,"
A left-side navigation panel appears directly beneath the header.
"
Requirement,🛠️ Layout Structure - Main Section,"
The main section area is displayed on the right side, next to the navigation panel, will contain the Home, blogs, Network and Admin content.
"
Sub-Section,Feature - Frontend login page,
Requirement,🤖🛠️ AI Feature Specification - Login Page,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/login-page.feature.md
"
Requirement,🛠️ Login Page - Created,"
A login page is created and use email and password as credential to log in.
"
Requirement,🛠️ Login Page - Link to Registration,"
Below the login submit button, there must be a working link to the registration page.
"
Sub-Section,Feature - Frontend session process,
Requirement,🤖🛠️ AI Feature Specification - Session Frontend,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/session-frontend.feature.md
"
Requirement,🛠️ Session Frontend - Token Stored in Cookie,"
After session creation, the token is stored in a cookie.
"
Requirement,🛠️ Session Frontend - Token Check on Navigation,"
Every page checks for a valid session_token.
"
Requirement,🛠️ Session Frontend - Login Only When No Session,"
The Login component must be displayed only if no valid session token exists in client-side storage (e.g., cookie/localStorage).
"
Requirement,🛠️ Session Frontend - Logout,"
After logout, it returns the user to the login page.
"
Sub-Section,Feature - Frontend registration page,
Requirement,🤖🛠️ AI Feature Specification - Registration Page,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/registration-page.feature.md
"
Requirement,🛠️ Registration Page - All Fields Required,"
Every field in the registration form must be required before submission.
"
Requirement,🛠️ Registration Page - Birthdate Picker,"
The Birthdate must be selected using a date picker component (not plain text).
"
Requirement,🛠️ Registration Page - Error Messages,"
Submitting an invalid registration form must show clear error messages explaining the issue.
"
Requirement,🛠️ Registration Page - Default Auth Level,"
All newly registered users must be created with auth level = “basic”.
"
Requirement,🛠️ Registration Page - Link to Login,"
Below the registration submit button, include a working link back to the login page.
"
Sub-Section,Feature - Frontend header bar,
Requirement,🤖🛠️ AI Feature Specification - Header,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/header.feature.md
"
Requirement,🛠️ Header - Logo Redirects Home,"
Clicking the logo in the header redirects to the Home page.
"
Requirement,🛠️ Header - Post Button Modal,"
The “Post” button in the header must open the Post Modal over the current content.
"
Requirement,🛠️ Header - User Menu (Collapsible),"
A collapsible menu (e.g., dropdown) must appear next to the username in the header.
"
Requirement,🛠️ Header - Logout Functionality,"
Clicking Logout clears the session and navigates back to the Login page.
"
Requirement,🛠️ Header - Account Settings Toast,"
Clicking Account Settings shows a toaster/notification confirming that the option was clicked (even if not fully implemented).
"
Sub-Section,Feature - Frontend navbar,
Requirement,🤖🛠️ AI Feature Specification - Navbar,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/navbar.feature.md
"
Requirement,🛠️ Navbar - Visibility & Position,"
The navbar is always visible on the left side of the browser on all main pages.
"
Requirement,🛠️ Navbar - Links,"
The navbar must contain 4 links: Home, blogs, Network, Admin.
"
Requirement,🛠️ Navbar - Admin Link Visibility,"
The Admin link is displayed only if user_admin = 'admin'.
"
Requirement,🛠️ Navbar - Active Link Highlight,"
The currently active page link is visually highlighted.
"
Sub-Section,Feature - Frontend home section,
Requirement,🤖🛠️ AI Feature Specification - Home Section,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/home-section.feature.md
"
Requirement,🛠️ Home Section - User Avatar Initials,"
In place of an avatar image, display a stylized graphic with the user’s initials.
"
Requirement,🛠️ Home Section - Total Post Count,"
The Home page shows the total number of posts created by the logged-in user.
"
Requirement,🛠️ Home Section - Date of Last Post,"
The Home page shows the date of the user’s last post.
"
Requirement,🛠️ Home Section - Post Content & Date,"
Each post shows its message and the date below it.
"
Requirement,🛠️ Home Section - Post Likes,"
Each post has a thumbs up icon. Clicking it “likes” the post and updates the like count.
"
Requirement,🛠️ Home Section - Post Comments List,"
Under each post, display a list of comments that correctly mirrors the data stored in the Comment collection.
"
Sub-Section,Feature - Frontend blogs section,
Requirement,🤖🛠️ AI Feature Specification - Blogs Section,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/blogs-section.feature.md
"
Requirement,🛠️ Blogs Section - Post List,"
The blogs page shows a list of posts, sorted with the most recent post first.
"
Requirement,🛠️ Blogs Section - Post Comments,"
Each post on blogs shows its associated comments, correctly reflecting the Comment collection.
"
Requirement,🛠️ Blogs Section - User Initials on Posts,"
Each post shows a user initials logo indicating who created the post.
"
Sub-Section,Feature - Network section,
Requirement,🤖🛠️ AI Feature Specification - Network Section,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/network-section.feature.md
"
Requirement,🛠️ Network Section - User Card List,"
The Network page displays a list of User Card components.
"
Requirement,🛠️ Network Section - Card Content,"
Each user card displays key user information and that user’s latest post (if it exists).
"
Sub-Section,Feature - Frontend admin section,
Requirement,🤖🛠️ AI Feature Specification - Admin Section,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/admin-section.feature.md
"
Requirement,🛠️ Admin Section - Restricted Access,"
The Admin page is only accessible to users with admin privileges.
"
Requirement,🛠️ Admin Section - Management Cards,"
The Admin page contains two main cards: User Manager and Content Manager.
"
Sub-Section,Feature - Frontend post modal,
Requirement,🤖🛠️ AI Feature Specification - POST_MODAL,"
Create a feature specification document :
     • Feature goal + scope (in/out)
     • Requirements breakdown + user flow
     • Interfaces involved (pages/components/endpoints)
     • Data + validations + expected behavior
     • Acceptance criteria (how to verify it works)

IMPORTANT: Must be used with the Global AI Spec.

File name & Location : ./ai/features/post-modal.feature.md
"
Requirement,🛠️ Post Modal - Global Availability,"
Regardless of which page is currently shown, if a logged-in user clicks Post, the Post Modal must appear to create a new post.
"
Requirement,🛠️ Post Modal - Click Outside to Close,"
Clicking outside the Post Modal closes it.
"
Section,TECHNICAL INTERVIEW REQUIREMENTS,
Requirement,📄🎥 CONCEPTS.md - Concept & Explanation Video,"
Part 1 - Create CONCEPTS.md and list 3 challenging concepts used in your project. For each concept, include:
     • Concept name
     • Purpose in the project
     • Why it was challenging
     • Usage location (file + line if applicable)

File name & Location : ./CONCEPTS.md

Part 2 - Record a video (~ 5 - 10 minutes) and explain the 3 concepts in your own words to demonstrate your understanding.

Part 3 - Upload to YouTube (Unlisted) and include the link in your submission summary document.
"
Requirement,📄🎥 Problem Solving  - Results & Explanation Video,"
Part 1 - Demonstrate your understanding of component thinking, state management basics, routing logic by solving the following problems:
     • Event Emitter → https://leetcode.com/problems/event-emitter/
     • Flatten Deeply Nested Array → https://leetcode.com/problems/flatten-deeply-nested-array/
     • Implement Router → https://leetcode.com/problems/implement-router/description/
     • Invert Binary Tree → https://leetcode.com/problems/invert-binary-tree/
     • Maximum Depth of Binary Tree → https://leetcode.com/problems/maximum-depth-of-binary-tree/

Part 2 - For each completed challenge:
                • Take a clear screenshot of your solution.
                • Save the screenshot in your project folder using the following structure:
                • File Name & Location: ./LeetCode-Challenges/<challenge-name>.png

Part 3 - In addition, record a problem-solving explanation video (~5–10 minutes) where you explain each challenge in your own words, focusing on the reasoning behind the solution, not just the final code or answer.

Part 4 - Upload to YouTube (Unlisted) and include the link in your submission summary document.
"
Requirement,🎥🔗 Technical Demo & Code Overview Video,"
Record a video (~ 5 - 10 minutes) divided into two parts:

Part 1 - Functional Demonstration (UI & Behavior)
Demonstrate how each requirement works by interacting with:
     • User Interface (UI)
     • Postman (API calls, if applicable)
     • DBeaver / MongoDB (Database, if applicable)

Part 2 - Code Explanation (Internal Implementation)
Explain how each requirement is implemented in the code, including:
     • Project structure
     • How each requirement works internally
       (state management, navigation, APIs, core logic)

Part 3 - Upload to YouTube (Unlisted) and include the link in your submission summary document.
"
Section,DEADLINE REQUIREMENTS,
Requirement,⏳ Deliverable Submitted on Time,"
Submit the complete project no later than 11:59 PM on Friday of the assigned deadline week.

Approved extensions allow extra time, but points will still be deducted for late submissions.
"
Section,EXTRA MILES,"
⚠️ Extra miles will only be considered if all main requirements are fully completed and reviewed by a coach.
"
Extra Mile,🚀 Registration Page Requirements,"
     • Implement location autocomplete, 
     • Enforce reasonable max character lengths for first/last name, location, and occupation fields, 
     • Validate emails using regex or a third-party library.
"
Section,SOFT/PRO SKILLS,"
⚠️ Communication, progress updates, and project reviews are mandatory in this program.

You are expected to :
→ Respond to your coaches within 24 hours when contacted.
→ Provide at least two (2) progress updates per week.
→ Schedule at least one (1) project review per week before Friday.

Failure to meet these requirements may result in a failed module.
"
ProDev,⏰ Attendance / Punctuality,"
     • Does the student attend scrums or scheduled meetings (when applicable)? 
     • Are they on time? 
     • Do they respond to messages or check-ins within 24 hours?
"
ProDev,🧠 Autonomy & Initiative,"
     • Does the student complete tasks without requiring frequent coach intervention? 
     • Are they able to research, troubleshoot, or find solutions independently? 
     • Do they push code or submit deliverables regularly?
"
ProDev,💼 Professionalism,"
     • Does the student behave reliably and respectfully in all formats (Slack, GitHub, Meet, etc.)? 
     • Do they submit deliverables on time and follow instructions without being reminded?
"
ProDev,🗣️ Communication & Collaboration,"
     • Is the student capable of expressing their progress, blockers, or needs clearly? 
     • Do they participate in discussions, answer questions when tagged, or collaborate when in teams?
"
ProDev,🧩 Technical Proficiency,"
     • Does the student demonstrate solid understanding of concepts through their work? 
     • Are their solutions well-written, complete, and using appropriate tools or methods?
"
ProDev,🔍 Attention to Detail,"
     • Are there minimal spelling, syntax, or formatting errors? 
     • Does the student follow naming conventions, indentation, and file structure guidelines?
"
ProDev,🏅 Going the Extra Mile,"
     • Does the student add extra features, improvements, or bonus tasks not explicitly required? 
     • Do they show signs of pride in craftsmanship and curiosity?
"
