"Summary","Issue Type","Priority","Description","Labels"
"[Backend | Postman] Build Postman collection covering all endpoints","Story","High","Organized by resource (Session, Users, Posts, Comments). All params pre-filled. Must run without modification.","BACKEND POSTMAN"
"[Backend | Postman] Export PostmanCollection.json to project root","Story","High","File must be at ./PostmanCollection.json. Commit on feature/backend-config or dedicated branch.","BACKEND POSTMAN"
"[Frontend | Layout] Create ai/features/layout-structure.feature.md","Story","High","Document layout zones: header top, left sidebar nav, right main content. Public vs protected routes.","FRONTEND LAYOUT"
"[Frontend | Layout] Set up React Router with protected and public routes","Story","High","Public: /login, /register. Protected (require valid session): /home, /blogs, /network, /admin.","FRONTEND LAYOUT"
"[Frontend | Layout] Implement main app shell: Header + Left Sidebar + Content area","Story","High","Persistent shell rendered on all protected pages. Uses React Bootstrap Grid or Flexbox.","FRONTEND LAYOUT"
"[Frontend | Layout] Login page renders without header or sidebar","Story","High","Login route bypasses the main layout shell entirely.","FRONTEND LAYOUT"
"[Frontend | Layout] Registration page renders without header or sidebar","Story","High","Register route bypasses the main layout shell entirely.","FRONTEND LAYOUT"
"[Frontend | Layout] Configure Redux store with redux-thunk middleware","Story","High","store.js with thunk. Connect Provider in index.js. Create initial reducers: user, alerts, posts.","FRONTEND LAYOUT"
"[Frontend | Login] Create ai/features/login-page.feature.md","Story","High","Scope: email + password fields, submit triggers POST /session, redirect on success, link to register.","FRONTEND LOGIN"
"[Frontend | Login] Build Login page with email and password fields","Story","High","React Bootstrap Form. Submit calls POST /session. On success store token and navigate to /home.","FRONTEND LOGIN"
"[Frontend | Login] Add 'Not a member? Register Now' link below submit button","Story","Medium","Navigates to /register.","FRONTEND LOGIN"
"[Frontend | Register] Create ai/features/registration-page.feature.md","Story","High","Scope: all required fields, birthdate picker, validation errors, default auth_level, link to login.","FRONTEND REGISTER"
"[Frontend | Register] Build Registration form with all required fields","Story","High","Fields: first_name, last_name, email, password, birthday, status. All marked required.","FRONTEND REGISTER"
"[Frontend | Register] Add date picker component for birthdate field","Story","High","Use react-datepicker or HTML input type=date. Not a plain text input.","FRONTEND REGISTER"
"[Frontend | Register] Add client-side validation with error messages on invalid submit","Story","High","Each field shows a clear error message when empty or invalid. Block API call until valid.","FRONTEND REGISTER"
"[Frontend | Register] Set auth_level = 'basic' hardcoded in POST /users request body","Story","High","Never allow the user to set their own auth level.","FRONTEND REGISTER"
"[Frontend | Register] Add 'Already a member? Login' link below submit button","Story","Medium","Navigates to /login.","FRONTEND REGISTER"
"[Frontend | Session] Create ai/features/session-frontend.feature.md","Story","High","Scope: cookie storage, session check on navigation, login-only-when-no-session, logout redirect.","FRONTEND SESSION"
"[Frontend | Session] Install react-use-cookie and store token in cookie after login","Story","High","After successful POST /session response, store token using react-use-cookie.","FRONTEND SESSION"
"[Frontend | Session] Check session token on every protected page navigation","Story","High","Each protected route reads cookie, calls GET /session/validate. Redirects to /login if invalid or missing.","FRONTEND SESSION"
"[Frontend | Session] Redirect to /home if user visits /login with a valid session","Story","High","Prevent authenticated users from seeing the login page.","FRONTEND SESSION"
"[Frontend | Session] Logout: clear session cookie and redirect to /login","Story","High","Calls DELETE /session, then clears cookie, then navigates to /login.","FRONTEND SESSION"
"[Frontend | Header] Create ai/features/header.feature.md","Story","High","Scope: logo, Post button (modal trigger), user dropdown with Account Settings and Logout.","FRONTEND HEADER"
"[Frontend | Header] Build Header with logo, Post button, and user dropdown","Story","High","Uses CodeBloggs logo asset. Displays logged-in username. Always visible on protected pages.","FRONTEND HEADER"
"[Frontend | Header] Logo click navigates to /home","Story","Medium","Wrap logo in React Router Link to /home.","FRONTEND HEADER"
"[Frontend | Header] Post button opens Post Modal as overlay over current page","Story","High","Triggers modal open state (Redux or lifted state). Modal renders over current content.","FRONTEND HEADER"
"[Frontend | Header] User dropdown: collapsible with Account Settings and Logout options","Story","High","React Bootstrap Dropdown. Username as toggle label. Two items: Account Settings, Logout.","FRONTEND HEADER"
"[Frontend | Header] Account Settings shows Redux-managed toast (auto-dismiss 5s)","Story","Medium","Dispatch alert action: 'Account Settings - coming soon'. Alert auto-dismisses after 5 seconds.","FRONTEND HEADER"
"[Frontend | Header] Logout clears session and navigates to /login","Story","High","Dispatches logout action: DELETE /session + clear cookie + redirect.","FRONTEND HEADER"
"[Frontend | Navbar] Create ai/features/navbar.feature.md","Story","High","Scope: 4 nav links, admin-conditional visibility, active link highlight, always visible on main pages.","FRONTEND NAVBAR"
"[Frontend | Navbar] Build left-side Navbar with Home, Blogs, Network, Admin links","Story","High","Always visible on all protected pages. Uses React Router NavLink.","FRONTEND NAVBAR"
"[Frontend | Navbar] Admin link visible only when user auth_level = 'admin'","Story","High","Read auth_level from Redux store (set at login). Conditionally render Admin NavLink.","FRONTEND NAVBAR"
"[Frontend | Navbar] Apply active highlight style to current page nav link","Story","Medium","Use NavLink activeClassName or style callback against current route.","FRONTEND NAVBAR"
"[Frontend | Home] Create ai/features/home-section.feature.md","Story","High","Scope: user info panel, post list, likes, comments. Data from GET /users/:id and GET /posts?user_id=.","FRONTEND HOME"
"[Frontend | Home] Build Home page: user info panel (left) and posts list (right)","Story","High","Two-column layout. Fetches logged-in user data and their posts on mount.","FRONTEND HOME"
"[Frontend | Home] Display user avatar as styled initials graphic","Story","Medium","Extract first letter of first_name + last_name. Render in a styled circle using brand colors.","FRONTEND HOME"
"[Frontend | Home] Display total post count for logged-in user","Story","Medium","Count posts from GET /posts?user_id= and show as a stat.","FRONTEND HOME"
"[Frontend | Home] Display date of user's last post","Story","Medium","Find most recent post's created_at and display formatted date.","FRONTEND HOME"
"[Frontend | Home] Render posts list: each post shows content and post date","Story","High","Map over user's posts. Each Post component shows title, content, and formatted created_at.","FRONTEND HOME"
"[Frontend | Home] Like button increments count via PATCH /posts/:id","Story","High","Thumbs-up icon. On click: call PATCH /posts/:id, update like count in local state or Redux.","FRONTEND HOME"
"[Frontend | Home] Display comments list under each post","Story","High","Fetch GET /comments?post_id= for each post. Render comments below post content.","FRONTEND HOME"
"[Frontend | Blogs] Create ai/features/blogs-section.feature.md","Story","High","Scope: all posts all users sorted desc, comments per post, user initials per post.","FRONTEND BLOGS"
"[Frontend | Blogs] Show all posts from all users, most recent first","Story","High","Fetch GET /posts (no user_id filter). Sort by created_at descending.","FRONTEND BLOGS"
"[Frontend | Blogs] Show comments under each post on Blogs page","Story","High","Same comment fetch pattern as Home. Render below each post.","FRONTEND BLOGS"
"[Frontend | Blogs] Display author initials logo on each post","Story","Medium","Use cached user data to show initials of each post's author.","FRONTEND BLOGS"
"[Frontend | Network] Create ai/features/network-section.feature.md","Story","High","Scope: list of user cards, each with user info and latest post.","FRONTEND NETWORK"
"[Frontend | Network] Build Network page with list of UserCard components","Story","High","Fetch GET /users on mount. Render one UserCard per user.","FRONTEND NETWORK"
"[Frontend | Network] UserCard shows initials, user info, status, and latest post","Story","High","For each user fetch most recent post (GET /posts?user_id=). Show 'No posts yet' if none.","FRONTEND NETWORK"
"[Frontend | Admin] Create ai/features/admin-section.feature.md","Story","High","Scope: restricted access, User Manager card, Content Manager card (both under construction in module 9).","FRONTEND ADMIN"
"[Frontend | Admin] Restrict Admin page to users with auth_level = 'admin'","Story","High","On Admin route load check Redux store auth_level. Redirect to /home if not admin.","FRONTEND ADMIN"
"[Frontend | Admin] User Manager card - show 'Under Construction' alert on interaction","Story","Medium","Card renders visually. Any click dispatches Redux alert: 'Coming in Module 10'. Auto-dismiss 5s.","FRONTEND ADMIN"
"[Frontend | Admin] Content Manager card - show 'Under Construction' alert on interaction","Story","Medium","Same pattern as User Manager card.","FRONTEND ADMIN"
"[Frontend | Post Modal] Create ai/features/post-modal.feature.md","Story","High","Scope: global modal triggered from header, title + content fields, POST /posts on submit, click-outside-to-close.","FRONTEND POST-MODAL"
"[Frontend | Post Modal] Build Post Modal with title input, text area, and Post button","Story","High","React Bootstrap Modal. Controlled by Redux or top-level state so it is accessible on any page.","FRONTEND POST-MODAL"
"[Frontend | Post Modal] Post Modal available globally on all protected pages","Story","High","Modal open/close state managed at app level. Header Post button dispatches open action.","FRONTEND POST-MODAL"
"[Frontend | Post Modal] Post button submits POST /posts and closes modal","Story","High","On success: update posts in Redux store, close modal, reset form fields.","FRONTEND POST-MODAL"
"[Frontend | Post Modal] Clicking outside the modal closes it","Story","High","React Bootstrap Modal onHide prop handles backdrop click.","FRONTEND POST-MODAL"
"[Tech Interview] Create CONCEPTS.md at project root","Story","High","List 3 challenging concepts: name, purpose, why challenging, where used (file + line). Template on student board.","SHARED CONCEPTS"
"[Tech Interview] Solve LeetCode: Event Emitter","Story","High","https://leetcode.com/problems/event-emitter/ — Screenshot: ./LeetCode-Challenges/event-emitter.png","SHARED LEETCODE"
"[Tech Interview] Solve LeetCode: Flatten Deeply Nested Array","Story","High","https://leetcode.com/problems/flatten-deeply-nested-array/ — Screenshot: ./LeetCode-Challenges/flatten-deeply-nested-array.png","SHARED LEETCODE"
"[Tech Interview] Solve LeetCode: Implement Router","Story","High","https://leetcode.com/problems/implement-router/ — Screenshot: ./LeetCode-Challenges/implement-router.png","SHARED LEETCODE"
"[Tech Interview] Solve LeetCode: Invert Binary Tree","Story","Medium","https://leetcode.com/problems/invert-binary-tree/ — Screenshot: ./LeetCode-Challenges/invert-binary-tree.png","SHARED LEETCODE"
"[Tech Interview] Solve LeetCode: Maximum Depth of Binary Tree","Story","Medium","https://leetcode.com/problems/maximum-depth-of-binary-tree/ — Screenshot: ./LeetCode-Challenges/maximum-depth-of-binary-tree.png","SHARED LEETCODE"
"[Tech Interview] Record concepts explanation video and upload to YouTube Unlisted","Story","High","~5-10 min. Explain 3 CONCEPTS.md entries in your own words. Add link to submission summary.","SHARED CONCEPTS"
"[Tech Interview] Record LeetCode explanation video and upload to YouTube Unlisted","Story","High","~5-10 min. Explain reasoning per challenge while showing completed solution on screen. Add link to submission summary.","SHARED LEETCODE"
"[Tech Interview] Record Technical Demo and Code Overview video and upload to YouTube Unlisted","Story","High","~10-15 min. Part 1: functional demo (UI + Postman + MongoDB). Part 2: code walkthrough. Add link to submission summary.","SHARED DEMO"
"[Docs | Submission] Complete README.md with all required sections","Story","High","Sections: Title/Description, Tech Stack, Project Structure, Installation, Env Vars, API Docs, Author. ./README.md on DOCS branch.","DOCS SHARED"
"[Docs | Submission] Create submission-summary document (do NOT commit to GitHub)","Story","High","Include: Student Name, Module Name, Repo Link, all YouTube links, .env values and login credentials. Submit via platform.","SHARED"
"[Git | Merge] Merge all feature/* branches into dev","Story","High","Verify each feature is complete and tested. Resolve conflicts in dev, not in main.","SHARED GIT"
"[Git | Merge] Merge dev into main and verify app is stable","Story","High","Final merge. Smoke test on main branch. Only main is graded.","SHARED GIT"
"[Git | Submit] Submit project through platform before Friday 11:59 PM deadline","Story","High","Attach or link submission summary. Verify repo is accessible to coaches.","SHARED GIT"
